"","X","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round","alphas","betas","dist"
"150",150,"GuamX","Sali Fledgling Survival","Scenario 1c","Refuge",0.15,0.3,0.35,0.9,"Round 2",18.904690774413,44.110945140297,"beta"
"151",151,"GuamX","Sali Fledgling Survival","Scenario 2a","Refuge",0.2,0.4,0.45,0.9,"Round 2",17.705833136489,26.6702776301467,"beta"
"152",152,"GuamX","Sali Fledgling Survival","Scenario 2b","Refuge",0.15,0.25,0.35,0.9,"Round 2",13.2252289745555,39.5631046656469,"beta"
"153",153,"GuamX","Sali Fledgling Survival","Scenario 2c","Refuge",0.15,0.3,0.35,0.9,"Round 2",18.7719106877558,43.8102700869651,"beta"
"154",154,"GuamX","Sali Fledgling Survival","Scenario 3","Refuge",0.2,0.4,0.45,0.9,"Round 2",17.5922939748993,26.4708400023906,"beta"
"155",155,"Expert 1","Sali Fledgling Survival","Scenario 1a","HMU",0.15,0.3,0.5,0.8,"Round 2",3.94530920026257,8.10083444133486,"beta"
"156",156,"Expert 1","Sali Fledgling Survival","Scenario 1b","HMU",0,0.15,0.3,0.8,"Round 2",2.76141017716906,12.6382893886356,"beta"
"157",157,"Expert 1","Sali Fledgling Survival","Scenario 1c","HMU",0,0.2,0.35,0.8,"Round 2",3.23539359349561,11.0213707040791,"beta"
"158",158,"Expert 1","Sali Fledgling Survival","Scenario 2a","HMU",0.1,0.25,0.45,0.8,"Round 2",3.38449963206793,8.54495651355928,"beta"
"159",159,"Expert 1","Sali Fledgling Survival","Scenario 2b","HMU",0,0.1,0.25,0.8,"Round 2",2.10693925932803,13.9666892067485,"beta"
"160",160,"Expert 1","Sali Fledgling Survival","Scenario 2c","HMU",0,0.12,0.28,0.8,"Round 2",2.29054920420669,12.5219287029036,"beta"
"161",161,"Expert 1","Sali Fledgling Survival","Scenario 3","HMU",0.15,0.3,0.5,0.8,"Round 2",3.93960064836003,8.0945279023601,"beta"
"162",162,"Expert 1","Sali Fledgling Survival","Scenario 1a","Refuge",0.15,0.3,0.5,0.9,"Round 2",5.63203683758139,12.3603563237797,"beta"
"163",163,"Expert 1","Sali Fledgling Survival","Scenario 1b","Refuge",0,0.15,0.3,0.8,"Round 2",2.75157265041127,12.5735039017258,"beta"
"164",164,"Expert 1","Sali Fledgling Survival","Scenario 1c","Refuge",0,0.2,0.35,0.8,"Round 2",3.22254511023975,10.9524638990312,"beta"
"165",165,"Expert 1","Sali Fledgling Survival","Scenario 2a","Refuge",0.1,0.25,0.45,0.8,"Round 2",3.37814862571755,8.50367144739192,"beta"
"166",166,"Expert 1","Sali Fledgling Survival","Scenario 2b","Refuge",0,0.1,0.25,0.8,"Round 2",2.08001472226862,13.6271225713612,"beta"
"167",167,"Expert 1","Sali Fledgling Survival","Scenario 2c","Refuge",0,0.12,0.28,0.8,"Round 2",2.28746113935271,12.4992583658191,"beta"
"168",168,"Expert 1","Sali Fledgling Survival","Scenario 3","Refuge",0.15,0.3,0.5,0.8,"Round 2",3.91512287343197,8.03293987378405,"beta"
"169",169,"aircon","Sali Fledgling Survival","Scenario 1a","HMU",0.5,0.6,0.7,0.75,"Round 2",19.0393754455123,12.7571693863951,"beta"
"170",170,"aircon","Sali Fledgling Survival","Scenario 1b","HMU",0.1,0.2,0.3,0.8,"Round 2",5.97192681750014,23.0933998645011,"beta"
"171",171,"aircon","Sali Fledgling Survival","Scenario 1c","HMU",0.2,0.35,0.4,0.8,"Round 2",13.8604563506453,25.7835418241872,"beta"
"172",172,"aircon","Sali Fledgling Survival","Scenario 2a","HMU",0.4,0.5,0.6,0.75,"Round 2",16.3845559564033,16.3948065888171,"beta"
"173",173,"aircon","Sali Fledgling Survival","Scenario 2b","HMU",0,0.1,0.2,0.8,"Round 2",2.70268656541136,20.9961488243939,"beta"
