"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"201","96929","Ko'ko' Nest Success","Scenario 2b","HMU",0.37026,0.5049,0.57222,0.9,"Round 2"
"202","96929","Ko'ko' Nest Success","Scenario 2c","HMU",0.39204,0.5346,0.60588,0.9,"Round 2"
"203","96929","Ko'ko' Nest Success","Scenario 3","HMU",0.5445,0.7425,0.8415,0.9,"Round 2"
"204","96929","Ko'ko' Nest Success","Scenario 1a","Refuge",0.55,0.75,0.85,0.9,"Round 2"
"205","96929","Ko'ko' Nest Success","Scenario 1b","Refuge",0.44,0.6,0.68,0.9,"Round 2"
"206","96929","Ko'ko' Nest Success","Scenario 1c","Refuge",0.495,0.675,0.765,0.9,"Round 2"
"207","96929","Ko'ko' Nest Success","Scenario 2a","Refuge",0.44,0.6,0.68,0.9,"Round 2"
"208","96929","Ko'ko' Nest Success","Scenario 2b","Refuge",0.374,0.51,0.578,0.9,"Round 2"
"209","96929","Ko'ko' Nest Success","Scenario 2c","Refuge",0.396,0.54,0.612,0.9,"Round 2"
"210","96929","Ko'ko' Nest Success","Scenario 3","Refuge",0.55,0.75,0.85,0.9,"Round 2"
"211","GuamX","Ko'ko' Nest Attempts","Scenario 1a","HMU",2,3,5,0.95,"Round 2"
"212","GuamX","Ko'ko' Nest Attempts","Scenario 1b","HMU",1,6,8,0.95,"Round 2"
"213","GuamX","Ko'ko' Nest Attempts","Scenario 1c","HMU",1,6,8,0.95,"Round 2"
"214","GuamX","Ko'ko' Nest Attempts","Scenario 2a","HMU",2,3,5,0.95,"Round 2"
"215","GuamX","Ko'ko' Nest Attempts","Scenario 2b","HMU",1,6,8,0.95,"Round 2"
"216","GuamX","Ko'ko' Nest Attempts","Scenario 2c","HMU",1,6,8,0.95,"Round 2"
"217","GuamX","Ko'ko' Nest Attempts","Scenario 3","HMU",2,3,5,0.95,"Round 2"
"218","GuamX","Ko'ko' Nest Attempts","Scenario 1a","Refuge",2,3,5,0.95,"Round 2"
"219","GuamX","Ko'ko' Nest Attempts","Scenario 1b","Refuge",1,6,8,0.95,"Round 2"
"220","GuamX","Ko'ko' Nest Attempts","Scenario 1c","Refuge",1,6,8,0.95,"Round 2"
"221","GuamX","Ko'ko' Nest Attempts","Scenario 2a","Refuge",2,3,5,0.95,"Round 2"
"222","GuamX","Ko'ko' Nest Attempts","Scenario 2b","Refuge",1,6,8,0.95,"Round 2"
"223","GuamX","Ko'ko' Nest Attempts","Scenario 2c","Refuge",1,6,8,0.95,"Round 2"
"224","GuamX","Ko'ko' Nest Attempts","Scenario 3","Refuge",2,3,5,0.95,"Round 2"
"225","Expert 1","Ko'ko' Nest Attempts","Scenario 1a","HMU",0.5,3,5,0.9,"Round 2"
"226","Expert 1","Ko'ko' Nest Attempts","Scenario 1b","HMU",0.5,4,6,0.8,"Round 2"
"227","Expert 1","Ko'ko' Nest Attempts","Scenario 1c","HMU",0.5,3.5,5.5,0.8,"Round 2"
"228","Expert 1","Ko'ko' Nest Attempts","Scenario 2a","HMU",0.5,3,5,0.8,"Round 2"
"229","Expert 1","Ko'ko' Nest Attempts","Scenario 2b","HMU",0.5,4,6,0.8,"Round 2"
"230","Expert 1","Ko'ko' Nest Attempts","Scenario 2c","HMU",0.5,4,6,0.8,"Round 2"
"231","Expert 1","Ko'ko' Nest Attempts","Scenario 3","HMU",0.5,3,5,0.9,"Round 2"
"232","Expert 1","Ko'ko' Nest Attempts","Scenario 1a","Refuge",0.5,3,5,0.9,"Round 2"
"233","Expert 1","Ko'ko' Nest Attempts","Scenario 1b","Refuge",0.5,4,6,0.8,"Round 2"
"234","Expert 1","Ko'ko' Nest Attempts","Scenario 1c","Refuge",0.5,3.5,5.5,0.8,"Round 2"
"235","Expert 1","Ko'ko' Nest Attempts","Scenario 2a","Refuge",0.5,3,5,0.8,"Round 2"
"236","Expert 1","Ko'ko' Nest Attempts","Scenario 2b","Refuge",0.5,4,6,0.8,"Round 2"
"237","Expert 1","Ko'ko' Nest Attempts","Scenario 2c","Refuge",0.5,4,6,0.8,"Round 2"
"238","Expert 1","Ko'ko' Nest Attempts","Scenario 3","Refuge",0.5,3,5,0.9,"Round 2"
